ballDist,ballDir,targetAngle,velX,velY,velTheta,accX,accY,accTheta
0.509411,-0.0765705,-0.840782,-0.00637614,0.004,-0.00409989,0.000941101,0.004,-0.0229712
0.518259,-0.0356083,-0.792216,-0.0040589,0.004,-0.0229712,0.00182592,0.004,-0.0106825
0.509366,0.0149933,-0.771141,-0.00317408,0.004,-0.0106825,0.000936618,0.004,0.00449798
0.508292,-0.0193148,-0.777269,-0.00406338,0.004,0.00449798,0.000829232,0.004,-0.00579444
0.511607,-0.0434706,-0.752587,-0.00417077,0.004,-0.00579444,0.00116067,0.004,-0.0130412
0.510733,-0.0195874,-0.728177,-0.00383933,0.004,-0.0130412,0.00107332,0.004,-0.00587622
0.528123,-0.0431626,-0.746307,-0.00392668,0.004,-0.00587622,0.00281234,0.004,-0.0129488
0.535528,-0.0668433,-0.74067,-0.00218766,0.004,-0.0129488,0.00355279,0.004,-0.020053
0.526122,-0.0786127,-0.704677,-0.00144721,0.004,-0.020053,0.00261219,0.004,-0.0235838
0.52025,-0.0340427,-0.672173,-0.00238781,0.004,-0.0235838,0.00202497,0.004,-0.0102128
0.510275,-0.0138863,-0.630644,-0.00297503,0.004,-0.0102128,0.00102748,0.004,-0.00416588
0.511951,-0.0357198,-0.668467,-0.00397252,0.004,-0.00416588,0.00119509,0.004,-0.0107159
0.514415,-0.0665753,-0.657511,-0.00380491,0.004,-0.0107159,0.00144152,0.004,-0.0199726
0.52166,-0.07116,-0.658766,-0.00355848,0.004,-0.0199726,0.00216599,0.004,-0.021348
0.530156,-0.0887117,-0.648635,-0.00283401,0.004,-0.021348,0.00301564,0.004,-0.0266135
0.537288,-0.086325,-0.630077,-0.00198436,0.004,-0.0266135,0.00372875,0.004,-0.0258975
0.527437,-0.0769436,-0.589379,-0.00127125,0.004,-0.0258975,0.00274366,0.004,-0.0230831
0.523217,-0.0727947,-0.598966,-0.00225634,0.004,-0.0230831,0.00232171,0.004,-0.0218384
0.521355,-0.07501,-0.571579,-0.00267829,0.004,-0.0218384,0.00213547,0.004,-0.022503
0.526401,-0.0769168,-0.547614,-0.00286453,0.004,-0.022503,0.00264011,0.004,-0.023075
0.527052,-0.0759241,-0.512383,-0.00235989,0.004,-0.023075,0.00270516,0.004,-0.0227772
0.527722,-0.0453183,-0.480207,-0.00229484,0.004,-0.0227772,0.00277216,0.004,-0.0135955
0.513399,-0.0601909,-0.474398,-0.00222784,0.004,-0.0135955,0.00133991,0.004,-0.0180573
0.533292,-0.0959941,-0.494339,-0.00366009,0.004,-0.0180573,0.00332925,0.004,-0.0287982
0.513876,-0.0778904,-0.467015,-0.00167075,0.004,-0.0287982,0.00138764,0.004,-0.0233671
0.524188,-0.0557063,-0.449915,-0.00361236,0.004,-0.0233671,0.0024188,0.004,-0.0167119
0.52901,-0.0782646,-0.426597,-0.0025812,0.004,-0.0167119,0.00290102,0.004,-0.0234794
0.514923,-0.0801074,-0.436544,-0.00209897,0.004,-0.0234794,0.00149226,0.004,-0.0240322
0.515188,-0.0615759,-0.373974,-0.00350774,0.004,-0.0240322,0.0015188,0.004,-0.0184728
0.514206,-0.0229699,-0.319375,-0.0034812,0.004,-0.0184728,0.00142061,0.004,-0.00689097
0.525717,-0.069097,-0.327678,-0.00357939,0.004,-0.00689097,0.00257167,0.004,-0.0207291
0.517593,-0.0169098,-0.298797,-0.00242833,0.004,-0.0207291,0.00175932,0.004,-0.00507295
0.504624,-0.0369579,-0.270409,-0.00324068,0.004,-0.00507295,0.000462449,0.004,-0.0110874
0.504639,-0.00943402,-0.243567,-0.00453755,0.004,-0.0110874,0.00046389,0.004,-0.00283021
0.522688,-0.0414702,-0.240995,-0.00453611,0.004,-0.00283021,0.00226875,0.004,-0.0124411
0.516335,-0.0263177,-0.219237,-0.00273125,0.004,-0.0124411,0.0016335,0.004,-0.00789531
0.530314,0.00420063,-0.173633,-0.0033665,0.004,-0.00789531,0.0166335,0.002,0
0.518196,-0.0354424,-0.205001,0.0116335,0.002,0,0.0297871,0,-0.0205001
0.448694,-0.0468238,-0.177774,0.0247871,0,-0.0205001,0.0228202,-0.00126011,-0.0177774
0.3143,-0.105018,-0.19271,0.0178202,-0.00126011,-0.0177774,0.00925682,-0.00197679,-0.019271
0.290109,0.0561886,-0.0708124,0.00425682,-0.00197679,-0.019271,0.00696514,2.32137e-05,0
0.293415,0.122984,-0.048132,0.00196514,2.32137e-05,0,0.00711984,0.00202321,0
