2 1.211927566 0.019531467716835 1.334386014 0.029807901760667 1.061159524 0.0038115570847514
4 1.260914936 0.009043007453648 1.240866278 0.016368295544994 1.061310858 0.0018802078934443
6 1.27059032 0.0070818877968816 1.220969112 0.011883473327219 1.06147584 0.0013359567520791
8 1.28376164 0.0053217809757894 1.21489968 0.0096182530658374 1.05924736 0.00096740723635526
10 1.28204172 0.004161905537542 1.21173346 0.0081952161902782 1.0588512 0.00082853418303604
12 1.28954596 0.0038529838539281 1.19955595 0.0068631698947997 1.05817406 0.00067413854708977
14 1.28628842 0.0030009394959492 1.20172452 0.0058342872170972 1.05828934 0.00060047971422712
16 1.2912237 0.0025862235143502 1.20211276 0.0049528635020264 1.05809494 0.00054859675095227
18 1.2914683 0.0020903672511009 1.19829878 0.0040945842263563 1.0576402 0.00044153937540719
20 1.29346468 0.0016635435304224 1.19207198 0.0032513493161489 1.05781704 0.00036349215854084
