# ProportionalXYA Uncorrected LinearSimpleXYA LinearFullXYA
2 0.212162255356 0.0056577454782058 0.21212938107872 0.0008481305228427 0.329846005876 0.0096450978059711 0.301235617324 0.0085447210555721
4 0.149767487228 0.0036059913629114 0.21212938107872 0.0008481305228427 0.23041448104 0.0064353024640679 0.22886194904 0.0061409530374517
6 0.13634983068 0.0031850563866197 0.21212938107872 0.0008481305228427 0.177409210148 0.004187711963536 0.227051383904 0.0065556953300822
8 0.12913906706 0.0029356757750967 0.21212938107872 0.0008481305228427 0.15321196406 0.0035806114183331 0.1703630669 0.0044179716390213
10 0.127057490232 0.0029468899248525 0.21212938107872 0.0008481305228427 0.145123713892 0.0034196530115266 0.14363414762 0.0035854818465993
12 0.12508065317 0.0028331916575837 0.21212938107872 0.0008481305228427 0.138242672496 0.003311317235082 0.127452350344 0.0030422065697572
14 0.122649827672 0.0028344204692167 0.21212938107872 0.0008481305228427 0.135391134996 0.0032179471515808 0.120603396844 0.0028909165194984
16 0.122210016868 0.002791302411597 0.21212938107872 0.0008481305228427 0.13313105648 0.0032274649346512 0.11396314804 0.0026146322993512
18 0.1218549694 0.0027491765271886 0.21212938107872 0.0008481305228427 0.133676303984 0.0032238398371463 0.111271450648 0.0026290602359936
20 0.121309856176 0.0027426701744052 0.21212938107872 0.0008481305228427 0.131065415308 0.00324935315065 0.107638223412 0.00241403934285
