0.143 0.214 0 -0.428 0.145059 
0.144 0.212 0 -0.424 0.147571 
0.145 0.21 0 -0.42 0.150105 
0.146 0.208 0 -0.416 0.152659 
0.148 0.204 0 -0.408 0.157828 
0.149 0.202 0 -0.404 0.160444 
0.151 0.198 0 -0.396 0.165736 
0.152 0.196 0 -0.392 0.168412 
0.153 0.194 0 -0.388 0.171108 
0.154 0.192 0 -0.384 0.173824 
0.155 0.19 0 -0.38 0.176559 
0.156 0.188 0 -0.376 0.179314 
0.157 0.186 0 -0.372 0.182089 
0.158 0.184 0 -0.368 0.184882 
0.159 0.182 0 -0.364 0.187695 
0.16 0.18 0 -0.36 0.190526 
0.161 0.178 0 -0.356 0.193377 
0.162 0.176 0 -0.352 0.196246 
0.163 0.174 0 -0.348 0.199133 
0.165 0.17 0 -0.34 0.204963 
0.166 0.168 0 -0.336 0.207905 
0.168 0.164 0 -0.328 0.213843 
0.169 0.162 0 -0.324 0.216838 
0.17 0.16 0 -0.32 0.219851 
0.171 0.158 0 -0.316 0.222881 
0.172 0.156 0 -0.312 0.225928 
0.173 0.154 0 -0.308 0.228992 
0.174 0.152 0 -0.304 0.232072 
0.175 0.15 0 -0.3 0.235169 
0.176 0.148 0 -0.296 0.238283 
0.177 0.146 0 -0.292 0.241413 
0.178 0.144 0 -0.288 0.244558 
0.179 0.142 0 -0.284 0.24772 
0.18 0.14 0 -0.28 0.250897 
0.182 0.136 0 -0.272 0.257298 
0.183 0.134 0 -0.268 0.260521 
0.185 0.13 0 -0.26 0.267012 
0.186 0.128 0 -0.256 0.27028 
0.187 0.126 0 -0.252 0.273561 
0.188 0.124 0 -0.248 0.276857 
0.189 0.122 0 -0.244 0.280167 
0.19 0.12 0 -0.24 0.283491 
0.191 0.118 0 -0.236 0.286828 
0.192 0.116 0 -0.232 0.290178 
0.193 0.114 0 -0.228 0.293542 
0.194 0.112 0 -0.224 0.296919 
0.195 0.11 0 -0.22 0.300308 
0.196 0.108 0 -0.216 0.30371 
0.197 0.106 0 -0.212 0.307125 
0.199 0.102 0 -0.204 0.31399 
0.2 0.1 0 -0.2 0.31744 
0.202 0.096 0 -0.192 0.324375 
0.203 0.094 0 -0.188 0.327859 
0.204 0.092 0 -0.184 0.331354 
0.205 0.09 0 -0.18 0.33486 
0.206 0.088 0 -0.176 0.338376 
0.207 0.086 0 -0.172 0.341902 
0.208 0.084 0 -0.168 0.345438 
0.209 0.082 0 -0.164 0.348985 
0.21 0.08 0 -0.16 0.35254 
0.211 0.078 0 -0.156 0.356105 
0.212 0.076 0 -0.152 0.35968 
0.213 0.074 0 -0.148 0.363263 
0.214 0.072 0 -0.144 0.366855 
0.216 0.068 0 -0.136 0.374063 
0.217 0.066 0 -0.132 0.37768 
0.219 0.062 0 -0.124 0.384936 
0.22 0.06 0 -0.12 0.388575 
0.221 0.058 0 -0.116 0.392222 
0.222 0.056 0 -0.112 0.395875 
0.223 0.054 0 -0.108 0.399535 
0.224 0.052 0 -0.104 0.403201 
0.225 0.05 0 -0.1 0.406873 
0.226 0.048 0 -0.096 0.410551 
0.227 0.046 0 -0.092 0.414235 
0.228 0.044 0 -0.088 0.417925 
0.229 0.042 0 -0.084 0.42162 
0.23 0.04 0 -0.08 0.425319 
0.231 0.038 0 -0.076 0.429024 
0.233 0.034 0 -0.068 0.436446 
0.234 0.032 0 -0.064 0.440164 
0.236 0.028 0 -0.056 0.44761 
0.237 0.026 0 -0.052 0.451338 
0.238 0.024 0 -0.048 0.455069 
0.239 0.022 0 -0.044 0.458803 
0.24 0.02 0 -0.04 0.46254 
0.241 0.018 0 -0.036 0.466279 
0.242 0.016 0 -0.032 0.47002 
0.243 0.014 0 -0.028 0.473764 
0.244 0.012 0 -0.024 0.477509 
0.245 0.01 0 -0.02 0.481255 
0.246 0.008 0 -0.016 0.485003 
0.247 0.006 0 -0.012 0.488751 
0.248 0.004 0 -0.008 0.4925 
0.251 -0.002 0 0.004 0.50375 
0.253 -0.006 0 0.012 0.511249 
0.254 -0.008 0 0.016 0.514997 
0.255 -0.01 0 0.02 0.518745 
0.256 -0.012 0 0.024 0.522491 
0.25 -6.43929e-15 0 1.28786e-14 0.5 
0.257 -0.014 0 0.028 0.526236 
0.258 -0.016 0 0.032 0.52998 
0.259 -0.018 0 0.036 0.533721 
0.26 -0.02 0 0.04 0.53746 
0.261 -0.022 0 0.044 0.541197 
0.262 -0.024 0 0.048 0.544931 
0.264 -0.028 0 0.056 0.55239 
0.265 -0.03 0 0.06 0.556115 
0.267 -0.034 0 0.068 0.563554 
0.268 -0.036 0 0.072 0.567267 
0.27 -0.04 0 0.08 0.574681 
0.271 -0.042 0 0.084 0.57838 
0.272 -0.044 0 0.088 0.582075 
0.273 -0.046 0 0.092 0.585765 
